Set,Price_Euro,Pieces,Minifigs
Desert Rally Racer,9.99,75,1
Construction Loader,9.99,88,1
Garbage Truck,19.99,90,2
Diving Yacht,19.99,148,2
Snow Groomer,19.49,197,2
Harvester Transport,29.99,358,3
Satellite Service Mission,9.74,84,1
Rover Testing Drive,19.49,202,2
Mars Research Shuttle,29.99,273,2
Lunar Space Station,48.73,412,5
Deep Space Rocket and Launch Control,99.99,837,7
Rocket Assembly & Transport,129.99,1055,8
People Pack - Space Research and Development,38.98,209,15
Fire Chief Response Truck,19.49,201,2
Garage Centre,38.98,234.0,4.0
Donut Shop Opening,79.99,790.0,10.0
People Pack - Fun Fair,38.98,183.0,14.0
LEGO City Advent Calendar,19.99,234.0,8.0
Straight & T-Junction ,9.74,2.0,
Curves & Crossroad,9.74,2.0,
Police Patrol Car,9.99,92.0,1.0
Kayak Adventure,9.99,84.0,1.0
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,19.99,174.0,3.0
Wrecked Shrimp Boat,29.23,310.0,4.0
Graveyard Mystery,29.23,335.0,4.0
El Fuego's Stunt Truck,38.98,428.0,4.0
Shrimp Shack Attack,48.73,579.0,5.0
Paranormal Intercept Bus 3000,58.48,689.0,5.0
Ghost Train Express,77.97,698.0,6.0
Newbury Haunted High School,116.97,1474.0,8.0
Spinjitzu Kai,9.99,97.0,1.0
Spinjitzu Jay,9.99,97.0,1.0
Spinjitzu Zane,9.99,109.0,1.0
Spinjitzu Cole,9.99,117,1
Spinjitzu Nya & Wu,19.99,227,2
Spinjitzu Lloyd vs. Garmadon,19.99,208,2
The Samurai Mech,14.61,154,3
The Golden Dragon,19.49,171,3
Kai's Blade Cycle & Zane's Snowmobile,29.99,376,4
Jay's Storm Fighter,38.98,490,4
Cole's Earth Driller ,49.99,587,4
Monastery of Spinjitzu,77.97,1070,8
Lloyd's Journey,14.61,81,2
Cole's Dirt Bike,19.49,212,3
Shuricopter,29.23,361,3
Fire Fang,43.86,463,4
Katana 4X4,48.73,450,5
Lloyd's Titan Mech,68.23,876,6
Land Bounty,126.71,1178,9
Castle of the Forsaken Emperor,97.47,1218,7
The Ultra Dragon,87.72,951,6
Monastery Training,9.99,122,2
Spinjitzu Slam - Lloyd,9.74,70,1
Spinjitzu Slam - Jay,9.74,72,1
Spinjitzu Slam - Zane,9.99,63,1
Spinjitzu Slam - Kai vs. Samurai,19.49,164,2
LEGO Movie Maker,49.99,482,6
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117,2
